JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458076.744,0.4,,,Vis.,CKB,,1,8,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458077.4,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458077.49,0.7,0.01,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.37,Z,1.64,1.771,,ALF ORI,AAVSO,STD,,,,
2458077.492,0.706,0.006,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.37,Z,1.64,1.771,,ALF ORI,AAVSO,STD,,,,
2458077.493,0.5,,,Vis.,RJG,,3,5,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458077.497,0.6,,,Vis.,CAI,,5,12,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458077.724,0.7,,,Vis.,HKAB,,4,9,NA,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2458079.404,0.45,,,Vis.,SGQ,U,bet Ori mv=0.13,,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458079.682,0.472,0.017,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,2.08,Z,1.64,1.886,,ALF ORI,AAVSO,STD,,,,
2458079.684,0.54,0.007,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,2.11,Z,1.64,1.945,,ALF ORI,AAVSO,STD,,,,
2458079.778,0.7,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458079.8,0.7,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458079.818,0.7,,,Vis.,SNE,,4,9,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458080.39,0.5,,,Vis.,SBEA,,1,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458080.4,0.7,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458081.699,0.1,,,Vis.,BGZ,,1,0,14473OH,,,,Z,,,,ALF ORI,,STD,,,,
2458081.709,0.8,,,Vis.,HKAB,,4,9,NA,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2458081.731,0.7,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458081.781,0.5,,,Vis.,SHA,,0.1,0.9,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458082.653,0.8,,,Vis.,GLG,,1.1,0.2,54907,Naked-eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458082.715,0.7,,,Vis.,HKAB,,4,9,NA,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2458082.953,0.5,,,Vis.,CKB,,1,8,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458083.5,0.7,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458083.5,0.9,,,Vis.,SHS,B,11,3,sa1965,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458083.656,0.85,,,Vis.,DXAA,,4,9,PROCYON/ALDEBARAN,UNAIDED EYE/CLEAR,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458083.708,0.7,,,Vis.,BEB,,4,9,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458083.713,0.8,,,Vis.,HKAB,,4,9,NA,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2458084.3,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458084.35,0.727,0.017,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,2.39,Z,1.64,1.899,,ALF ORI,AAVSO,STD,,,,
2458084.401,0.45,,,Vis.,SGQ,,bet Ori mv=0.13,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458084.9,0.9,,,Vis.,MOW,,5,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458085.438,0.4,,,Vis.,GMQA,,,,SC2000,S; NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458085.628,0.45,,,Vis.,SGQ,,bet Ori mv=0.13,alf Tau mv=0.85,Tirion2000.0/Simbad,"""Roma, via della Giuliana. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458085.777,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458086.079,0.7,,,Vis.,SANG,,0.1,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458086.223,0.7,,,Vis.,BJFA,U,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458086.396,0.65,,,Vis.,RJOC,K,Alf Tau,,skymap.org,Airmass correction. Valladolid (Spain),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458086.514,0.6,,,Vis.,HXT,,,,SPA-TM,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458086.753,0.7,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458086.901,0.63,,,Vis.,MDP,,4,9,10 star 2013,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458087.44,0.6,,,Vis.,KMR,,,,BAA,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458088.4,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458088.419,0.45,,,Vis.,SGQ,,bet Ori mv=0.13,alf Tau mv=0.85,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458088.513,0.84,,,Vis.,DXAA,B,4,9,PROCYON/ALDEBARAN,UNAIDED EYE/CLEAR/MOON 12-DAYS,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458088.747,0.7,,,Vis.,SHA,,0.4,0.9,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458088.801,0.7,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458089.466,0.45,,,Vis.,SGQ,,bet Ori mv=0.13,alf Tau mv=0.85,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458089.5,0.7,,,Vis.,SBEA,,1,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458089.687,0.6,,,Vis.,HKAB,,4,9,NA,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2458090.797,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458091.458,0.4,,,Vis.,KMR,,,,BAA,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458092.3,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458092.375,0.45,,,Vis.,SGQ,B,bet Ori mv=0.13,alf Tau mv=0.85,Tirion2000.0/Simbad,"""Roma, Ospedale Santo Spirito. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458093.633,0.45,,,Vis.,SGQ,B,bet Ori mv=0.45,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Roma, Via della Giuliana. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458093.707,0.6,,,Vis.,BEB,B,4,9,10 STAR,Moon,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458094.364,0.646,0.01,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.79,Z,1.64,1.782,,ALF ORI,AAVSO,STD,,,,
2458094.366,0.655,0.006,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.78,Z,1.64,1.795,,ALF ORI,AAVSO,STD,,,,
2458094.389,0.45,,,Vis.,SGQ,B,bet Ori mv=0.45,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458095.116,0.8,,,Vis.,BJFA,,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458095.38,0.7,,,Vis.,KTZ,,1,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2458095.417,0.637,0.007,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.44,Z,1.64,1.84,,ALF ORI,AAVSO,STD,,,,
2458095.419,0.636,0.006,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.44,Z,1.64,1.836,,ALF ORI,AAVSO,STD,,,,
2458095.455,0.83,,,Vis.,DXAA,,4,9,PROCYON/ALDEBARAN,UNAIDED EYE/SLIGHT HAZE/MOON 19-DAYS,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458095.635,0.5,,,Vis.,KB,,3,11,54907,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458095.8,0.6,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458096.364,0.5,,,Vis.,SDAV,,0.8,,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458096.364,0.5,,,Vis.,SDAV,,,,ORI0708,NE,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458096.38,0.7,,,Vis.,SBEA,,1,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458096.601,0.4,,,Vis.,CKB,,1,8,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458097.133,0.8,,,Vis.,BJFA,U,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458097.4,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458097.413,0.5,,,Vis.,GMQA,,,,SC2000,"""C, S; NE""",,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458098.526,0.5,,,Vis.,AAX,KZ,1,9,ATLAS,BSC,,,Z,,,,ALF ORI,NEOA-JBS,STD,,,,
2458099.451,0.6,,,Vis.,KMR,,,,BAA,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458099.479,0.6,,,Vis.,HXT,,,,SPA-TM,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458100.33,0.6,,,Vis.,KTZ,,1,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2458100.51,0.7,,,Vis.,KMR,,,,BAA,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458100.615,0.4,,,Vis.,CKB,,1,8,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458101.273,0.9,,,Vis.,STF,,,,AAVSO,Naked eye,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458101.318,0.611,0.006,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,2.13,Z,1.64,1.756,,ALF ORI,AAVSO,STD,,,,
2458101.32,0.562,0.017,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,2.1,Z,1.64,1.701,,ALF ORI,AAVSO,STD,,,,
2458101.333,0.45,,,Vis.,SGQ,,bet Ori mv=0.13,alf Tau mv=0.86,Tirion2000.0/Simbad,"""Roma, San Paolo fuori le mura. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458101.691,0.5,,,Vis.,MCOA,,4,9,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458101.945,-3.21,0.005,,J,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2458101.945,-3.924,0.004,,H,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2458102.438,0.3,,,Vis.,SDAV,,0.8,,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458102.438,0.3,,,Vis.,SDAV,,,,ORI0708,NE,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458103.358,0.8,,,Vis.,DNO,,0,11,atlas,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458103.361,0.4,,,Vis.,SDAV,,,,ORI0708,NE,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458103.361,0.4,,,Vis.,SDAV,,0.8,0.1,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458103.4,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458103.503,0.6,,,Vis.,HXT,,,,SPA-TM,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458103.7,0.8,,,Vis.,MOW,,4,9,10-STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458104.338,0.4,,,Vis.,SDAV,,,,ORI0708,NE,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458104.338,0.4,,,Vis.,SDAV,,0.8,,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458104.692,0.6,,,Vis.,BBA,U,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458105.4,0.7,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458105.617,0.6,,,Vis.,BSR,,0.5,1.1,SA1968,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458105.826,0.7,,,Vis.,BBA,U,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458106.144,0.7,,,Vis.,BJFA,,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458106.281,0.45,,,Vis.,SGQ,,bet Ori mv=0.13,,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458106.3,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458108.09,0.6,,,Vis.,BJFA,,1,9,10 star tutorial,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458108.446,0.8,,,Vis.,DXAA,,4,9,PROCYON/ALDEBARAN,UNAIDED EYE/SLIGHT HAZE,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458108.619,0.4,,,Vis.,CKB,,1,8,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458109.479,0.7,,,Vis.,KMR,,,,BAA,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458109.55,0.7,,,Vis.,MCPA,,9,1,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458109.604,-3.232,0.007,,J,RPT,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2458109.604,-3.972,0.045,,H,RPT,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2458110.261,0.5,,,Vis.,SSAB,BLU,1,21,10-STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458110.4,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458110.533,0.8,,,Vis.,DXAA,,4,9,PROCYON/ALDEBARAN,UNAIDED EYE/SLIGHT HAZE/DEW,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458111.483,0.3,,,Vis.,DPV,,0.12,0.36,OSE2001,,,,Z,,,,ALF ORI,UAG,STD,,,,
2458112.06,0.7,,,Vis.,BJFA,U,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458112.3,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458112.347,0.56,0.005,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.55,Z,1.64,1.752,,ALF ORI,AAVSO,STD,,,,
2458112.349,0.575,0.008,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.54,Z,1.64,1.762,,ALF ORI,AAVSO,STD,,,,
2458112.453,0.569,0.005,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.778,,ALF ORI,AAVSO,STD,,,,
2458112.455,0.571,0.004,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.33,Z,1.64,1.777,,ALF ORI,AAVSO,STD,,,,
2458112.52,0.3,,,Vis.,DPV,,0.12,0.36,OSE2001,,,,Z,,,,ALF ORI,UAG,STD,,,,
2458112.7,0.6,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458113.345,0.8,,,Vis.,DNO,,0,11,atlas,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458113.36,0.562,0.005,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.48,Z,1.64,1.779,,ALF ORI,AAVSO,STD,,,,
2458113.362,0.56,0.003,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.47,Z,1.64,1.778,,ALF ORI,AAVSO,STD,,,,
2458113.371,0.79,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2458113.504,0.3,,,Vis.,DPV,,0.12,0.36,OSE2001,,,,Z,,,,ALF ORI,UAG,STD,,,,
2458114.079,0.7,,,Vis.,BJFA,U,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458114.4,0.7,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458114.51,0.7,,,Vis.,SBEA,,1,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458114.81,0.5,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458115.6,0.8,,,Vis.,MOW,,4,9,10-STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458115.688,0.7,,,Vis.,TDB,,5,11,Mar-68,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458116.441,0.6,,,Vis.,HXT,B,,,SPA-TM,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458116.67,0.9,,,Vis.,KSP,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458117.036,0.7,,,Vis.,BJFA,U,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458117.302,0.539,0.009,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.78,Z,1.64,1.769,,ALF ORI,AAVSO,STD,,,,
2458117.304,0.532,0.009,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.77,Z,1.64,1.761,,ALF ORI,AAVSO,STD,,,,
2458117.4,0.6,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458117.448,0.55,,,Vis.,RJOC,K,Alf Tau,Alf CMi,skymap.org,Madrid (Spain),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458117.939,-3.208,0.008,,J,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2458117.939,-3.925,0.008,,H,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2458118.3,0.3,,,Vis.,SPAO,B,3,17,680301,Moon,,,Z,,,,ALF ORI,UAI,STD,,,,
2458119.426,0.559,0.009,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.767,,ALF ORI,AAVSO,STD,,,,
2458119.428,0.558,0.008,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.32,Z,1.64,1.772,,ALF ORI,AAVSO,STD,,,,
2458120.592,0.4,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458121.243,0.45,,,Vis.,SGQ,B,bet Ori mv=0.13,,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458121.3,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458121.358,0.559,0.014,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.4,Z,1.64,1.774,,ALF ORI,AAVSO,STD,,,,
2458122.335,0.536,0.009,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.48,Z,1.64,1.763,,ALF ORI,AAVSO,STD,,,,
2458122.337,0.529,0.008,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.47,Z,1.64,1.796,,ALF ORI,AAVSO,STD,,,,
2458122.592,0.4,,,Vis.,CKB,,1,8,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458122.645,0.5,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458122.653,0.3,,,Vis.,MCOA,,1,4,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458123.4,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458123.6,0.6,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458123.672,0.5,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458123.7,0.6,,,Vis.,TDB,,5,11,Mar-68,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458124.308,0.3,,,Vis.,SDAV,U,0.8,,ORI0708,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458124.308,0.3,,,Vis.,SDAV,U,,,ORI0708,NE,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458124.59,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458124.6,0.8,,,Vis.,MOW,,4,9,10-STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458124.649,0.2,,,Vis.,BGZ,,1,0,14473OH,,,,Z,,,,ALF ORI,,STD,,,,
2458125.354,0.5,,,Vis.,SDAV,,,,ORI0708,NE,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458125.354,0.5,,,Vis.,SDAV,,0.8,,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458125.392,0.3,,,Vis.,GMQA,,,,SC2000,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458125.4,0.5,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458125.424,0.5,,,Vis.,HXT,,,,SPA-TM,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458126.313,0.5,,,Vis.,SDAV,,0.8,,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458126.313,0.5,,,Vis.,SDAV,,,,ORI0708,NE,,,Z,,,,ALPHA ORI,AAVSO,STD,,,,BAAVSS
2458126.35,0.6,,,Vis.,KTZ,,1,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2458126.39,0.56,,,Vis.,MQG,B,1.3,6.9,X22562FTD,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458126.4,0.6,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458126.4,0.9,,,Vis.,SHS,,11,5,sa1965,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458126.433,0.5,,,Vis.,SRAB,,4,9,X15347MK,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458126.447,0.3,,,Vis.,KBA,K,1,4,A,BRIGHT STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458126.465,0.7,,,Vis.,KMR,,,,BAA,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458127.079,0.6,,,Vis.,SANG,,0.4,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458127.279,0.4,,,Vis.,MISB,,1,21,10-STAR-TUTORIAL,0.4  0.1RIGEL 2.1,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458127.4,0.6,,,Vis.,SYU,,4,9,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458127.53,0.6,,,Vis.,SBEA,,1,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458127.6,0.6,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458127.758,0.6,,,Vis.,SHA,,0.4,0.9,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458128.4,0.7,,,Vis.,SBEA,,1,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458129.874,0.2,,,Vis.,BBA,U,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458129.972,0.7,,,Vis.,BJFA,,1,9,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458130.39,0.3,,,Vis.,DPV,,0.12,0.36,OSE2001,,,,Z,,,,ALF ORI,UAG,STD,,,,
2458130.403,0.7,,,Vis.,KMR,,,,BAA,NE,,,Z,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2458130.499,0.8,,,Vis.,DXAA,,4,9,PROCYON/ALDEBARAN,UNAIDED EYE/CLEAR,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458131.313,0.27,,,Vis.,SGQ,,bet Ori mv=0.13,alf CMi mv=0.37,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458131.665,0.4,,,Vis.,CKB,,1,8,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458131.768,0.5,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458132.4,0.3,,,Vis.,SPAO,,3,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458132.438,0.27,,,Vis.,SGQ,,bet Ori mv=0.13,alf CMi mv=0.37,Tirion2000.0/Simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458132.668,0.5,,,Vis.,BBA,,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458133.25,0.6,,,Vis.,SBEA,,1,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
